Design_ID,Chassis_Type,Wheel_Configuration,Footprint_Area,Volume_to_Weight_Ratio,Chassis_Weight_Percentage,Power_Density,Power_Efficiency,Energy_Efficiency,Motor_Power_Density,Battery_Energy_Density,Motor_to_Weight_Ratio,Battery_to_Weight_Ratio,Agility_Score,Stability_Factor,Speed_to_Size_Ratio,Wheel_to_Chassis_Ratio,Terrain_Adaptability (ratio),Torque_to_Weight_Ratio,Operational_Endurance,Operational_Range,Control_Responsiveness,Control_Precision,Sensor_Coverage_Ratio,Sensor_Range_Efficiency
10007,chassis_hub_16WD_extreme,16WD,2100,2.816901408,23.4741784,2.142857143,0.000111111,0.352871622,0.023076923,0.16,4.828973843,536.5526492,0.319498662,0.760869565,0.016666667,1,0.5,0.536701972,0.004756539,0.06267,171.9521457,0.00011391,36.02677832,41.70833333
10008,chassis_hub_4WD_light,4WD,700,1.440329218,20.57613169,0.557142857,0.005128205,21.31425676,0.007722772,0.168821293,0.641975309,4115.226337,0.23570226,0.833333333,0.057142857,1,0.5,0.041970848,1.686666667,9.46353,2941.489076,0.000195998,62.07938466,71.5
10009,chassis_hub_2WD_mini_robot,2WD,240,2.782608696,43.47826087,0.765625,0,0.126984127,0.056190476,0.0525,1.710144928,507.2463768,0,0.857142857,0,0.45,0.225,0.596926522,0,0.00016,131.1063702,3.75E-05,17.17129584,20.025
1001,chassis_hub_2WD_mini_robot,2WD,240,2.823529412,44.11764706,0.234375,0,11.18257576,0.018947368,0.132,0.529411765,3235.294118,0,0.857142857,0,0.75,0.375,0.074992029,0,0.14761,2627.730241,9.91E-05,21.69457102,25.3
10010,chassis_hub_4WD_compact,4WD,616,2.758208955,44.7761194,0.757575758,0.014285714,50.59943182,0.009882353,0.1056,1.671641791,1094.527363,0.64807407,1.1,0.214285714,1.111111111,0.555555556,0.068305025,0.269731343,0.53433,6700.992257,0.000213129,281.1088061,357.5
10011,chassis_hub_12WD_robust,12WD,1500,2.93040293,34.18803419,3.1875,0.000915033,3.312169312,0.027567568,0.086006826,7.472527473,109.8901099,0.674536878,0.75,0.14,0.9,0.45,0.258636923,0.003076923,0.02504,1586.22522,0.000119048,8.677828408,10.12
10012,chassis_hub_8WD_heavy_duty,8WD,1350,2.683486239,30.58103976,3.475783476,0.00295082,10.67935435,0.032972973,0.159520958,7.4617737,917.4311927,0.998268397,0.882352941,0.4,1.107692308,0.553846154,0.155946728,0.216,1.42249,3529.786891,0.000118519,11.23267897,13.5
10013,chassis_hub_12WD_mini,12WD,1750,2.910199557,27.71618625,2.4,0.00015873,0.800168919,0.020487805,0.16,5.587583149,886.9179601,0.324037035,0.875,0.02,0.96,0.48,0.417489313,0.011254989,0.14211,414.2597115,0.00010989,6.562047683,8.01
10014,chassis_hub_4WD_standard,4WD,600,3.726708075,49.68944099,2.083333333,0,1.086419753,0.027472527,0.0845953,6.211180124,559.0062112,0,1.111111111,0,0.9,0.45,0.755294783,0,0.00352,259.863164,0.000128146,14.03391496,16.86666667
10015,chassis_hub_4WD_compact,4WD,616,3.223255814,52.3255814,0.901875902,0.048,171.7486772,0.010526316,0.086006826,2.325581395,523.255814,1.095445115,1.1,0.857142857,1,0.5,0.045612326,0.758511628,1.29842,24983.04722,0.000210828,17.06029967,21.69642857
10016,chassis_hub_4WD_standard,4WD,600,1.923076923,25.64102564,0.608333333,0,2.866801802,0.007019231,0.168181818,0.935897436,3205.128205,0,1.111111111,0,0.67,0.335,0.150871538,0,0.63643,526.8533767,0.000215542,69.40686205,83.41666667
10017,chassis_hub_12WD_mini,12WD,1750,3.232758621,30.78817734,2.914285714,0.000915033,3.31155303,0.0255,0.1056,7.536945813,270.9359606,0.674536878,0.875,0.14,0.96,0.48,0.260866552,0.004344828,0.03497,1586.22522,0.000119048,41.00255762,50.05
10018,chassis_hub_16WD_advanced,16WD,2400,3.609022556,22.55639098,1.583333333,0,0.191358025,0.019487179,0.0845953,4.571428571,67.66917293,0,0.869565217,0,1,0.5,0.766835789,0,0.00062,90.99006208,0.000114943,7.016957482,8.433333333
10019,chassis_hub_2WD_simple,2WD,375,3.409090909,45.45454545,0.633333333,0.010526316,32.06190476,0.069090909,0.055702918,1.727272727,397.7272727,0.451753951,1.071428571,0.08,0.875,0.4375,0.046804466,0.090818182,0.06733,16995.27022,3.77E-05,85.83504186,100.1
1002,chassis_hub_16WD_extreme,16WD,2100,2.966101695,24.71751412,3.142857143,0.006742424,24.27597598,0.037714286,0.159520958,7.457627119,423.7288136,1.160144701,0.760869565,1.483333333,1,0.5,0.083107203,0.228533898,3.23356,11556.78375,0.000117647,144.1071133,166.8333333
10020,chassis_hub_2WD_simple,2WD,375,4.054054054,54.05405405,0.916666667,0.265454545,949.7037879,0.1,0.132,2.972972973,2972.972973,1.220571964,1.071428571,2.92,0.75,0.375,0.011927007,17.04648649,12.53609,509858.1065,4.37E-05,13.73703667,16.02
10021,chassis_hub_4WD_light,4WD,700,4.093567251,58.47953216,1.071428571,0.008,29.63580247,0.034090909,0.0845953,3.50877193,526.3157895,0.577350269,0.833333333,0.171428571,0.67,0.335,0.075700456,0.054315789,0.09602,13596.21617,9.09E-05,248.3175386,286
10022,chassis_hub_12WD_robust,12WD,1500,2.833530106,33.05785124,3.4375,0.000848485,3.070843571,0.0275,0.137191011,7.792207792,259.7402597,0.674536878,0.75,0.14,0.9,0.45,0.263980661,0.00892562,0.07499,1502.739682,0.000119048,8.677828408,10.12
10023,chassis_hub_4WD_compact,4WD,616,2.508597285,40.7239819,0.992063492,0,0.362702703,0.010280374,0.151020408,1.990950226,2262.443439,0,1.1,0,0.888888889,0.444444444,0.638985339,0,0.02684,84.97635108,0.000146998,70.27720153,89.375
10024,chassis_hub_4WD_tracked,4WD,600,2.564102564,42.73504274,0.441666667,0,0.441441441,0.005638298,0.097097416,0.905982906,1410.25641,0,1.111111111,0,0.67,0.335,0.402324103,0,0.02156,89.22516864,0.000209998,277.6274482,333.6666667
10025,chassis_hub_16WD_extreme,16WD,2100,2.709677419,22.58064516,3.523809524,0.01472973,52.98252896,0.038947368,0.170769231,7.638709677,903.2258065,1.572447071,0.760869565,3.633333333,1,0.5,0.055676465,1.063277419,16.46697,24102.38322,0.000123077,36.02677832,41.70833333
10026,chassis_hub_12WD_robust,12WD,1500,2.383316783,27.80536246,2.75,0,0.213063063,0.020952381,0.165465839,5.243296922,1191.658391,0,0.75,0,0.9,0.45,0.736229136,0,0.05676,110.0646071,0.000112045,10.41853905,12.15
10027,chassis_hub_4WD_standard,4WD,600,3.015075377,40.20100503,0.558333333,0,1.793693694,0.007362637,0.154166667,1.346733668,2512.562814,0,1.111111111,0,0.67,0.335,0.27596603,0,0.09955,342.3333001,0.000215394,11.10787143,13.35
10028,chassis_hub_12WD_mini,12WD,1750,2.819548872,26.8528464,2.857142857,0.002533333,9.071891892,0.025,0.168181818,6.444683136,1074.113856,0.785811682,0.875,0.38,0.96,0.48,0.126401504,0.217469388,2.01396,4792.666201,0.000113475,8.290627036,10.12
10029,chassis_hub_8WD_heavy_duty,8WD,1350,2.050233645,23.36448598,2.792022792,0.000816327,2.615855856,0.023902439,0.168181818,4.579439252,1168.224299,0.588235294,0.882352941,0.088888889,1.538461538,0.769230769,0.247457523,0.076205607,0.58072,642.0435415,0.000117647,7.40524762,8.9
1003,chassis_hub_12WD_mini,12WD,1750,2.865720524,27.29257642,2.914285714,0.000915033,3.311621622,0.0255,0.168181818,6.681222707,1091.703057,0.634428877,0.875,0.14,0.96,0.48,0.231248515,0.079781659,0.73518,1586.22522,0.000119048,164.0102305,200.2
10030,chassis_hub_16WD_extreme,16WD,2100,2.997858672,24.9821556,2.142857143,0.000111111,0.353219697,0.021428571,0.1056,5.139186296,157.0306924,0.328253671,0.760869565,0.016666667,1,0.5,0.571179615,0.000308351,0.00373,171.9521457,0.00011391,5.765724163,6.675
10031,chassis_hub_16WD_advanced,16WD,2400,3.475742216,21.72338885,2.083333333,0.0002,0.646283784,0.026315789,0.155789474,5.792903693,434.467777,0.40786224,0.869565217,0.033333333,1,0.5,0.443110036,0.004640116,0.05739,313.7588348,0.000119048,7.016957482,8.433333333
10032,chassis_hub_4WD_standard,4WD,600,3.260869565,43.47826087,0.916666667,0,1.151576577,0.023913043,0.155789474,2.391304348,3260.869565,0,1.111111111,0,0.7,0.35,0.319782065,0,0.10226,509.8581065,8.53E-05,16.84901846,20.25
10033,chassis_hub_16WD_extreme,16WD,2100,2.930914166,24.42428472,2.428571429,0.000980392,3.44963145,0.0255,0.097097416,5.694347523,230.286113,0.614875462,0.760869565,0.166666667,1,0.5,0.197091082,0.012058618,0.16848,1586.22522,0.000119048,8.745761372,10.125
10034,chassis_hub_4WD_compact,4WD,616,2.543119266,41.28440367,0.757575758,0,0.241250866,0.01787234,0.150901961,1.541284404,2385.321101,0,1.1,0,0.777777778,0.388888889,0.485834037,0,0.02785,113.3018014,8.53E-05,17.06029967,21.69642857
10035,chassis_hub_16WD_extreme,16WD,2100,3.017241379,25.14367816,2.904761905,0.00204918,7.416666667,0.0305,0.055445545,7.011494253,25.14367816,0.841952901,0.760869565,0.416666667,1,0.5,0.146536149,0.000646552,0.01246,3529.786891,0.000118519,8.745761372,10.125
10036,chassis_hub_4WD_standard,4WD,600,3.797468354,50.63291139,2.416666667,0.000689655,1.38984439,0.02815534,0.137191011,7.341772152,1392.405063,0.909483641,1.111111111,0.033333333,0.8,0.4,0.670327975,0.038278481,0.03394,377.6726715,0.000133636,277.6274482,333.6666667
10037,chassis_hub_8WD_versatile,8WD,1000,2.357563851,29.46954813,3.666666667,0,0.320987654,0.022564103,0.0845953,6.915520629,176.8172888,0,0.833333333,0,1.2,0.6,0.971031749,0,0.00104,110.0646071,0.000112045,8.490583019,10.0125
10038,chassis_hub_2WD_mini_robot,2WD,240,0.755905512,11.81102362,0.84375,0,1.323817568,0.068421053,0.176277916,0.511811024,6299.212598,0,0.857142857,0,0.5,0.25,0.05714111,0,0.47022,1171.29565,3.95E-05,17.17129584,20.025
10039,chassis_hub_12WD_mini,12WD,1750,2.737226277,26.06882169,2.285714286,0.0005,1.628603604,0.021052632,0.170769231,5.005213764,1459.854015,0.45,0.875,0.06,0.96,0.48,0.269964088,0.058335766,0.50617,834.3132652,0.000111111,6.562047683,8.01
1004,chassis_hub_2WD_mini_robot,2WD,240,2.56,40,0.963541667,0,3.483585859,0.077894737,0.088,1.973333333,2933.333333,0,0.857142857,0,0.75,0.375,0.154291293,0,0.02759,2073.999077,3.96E-05,26.04634762,30.375
10040,chassis_hub_4WD_compact,4WD,616,1.75443038,28.48101266,0.992063492,0,1.651501502,0.012087912,0.165465839,1.392405063,3797.468354,0,1.1,0,0.777777778,0.388888889,0.198615696,0,0.43996,433.3793905,0.000148875,14.20989569,18.07142857
10041,chassis_hub_8WD_versatile,8WD,1000,2.058319039,25.72898799,3.166666667,0.000263158,0.608722359,0.018095238,0.097097416,5.214408233,566.0377358,0.498887652,0.833333333,0.025,1.2,0.6,0.565186003,0.007965695,0.02973,211.2269298,0.0001126,12.87897424,15.1875
10042,chassis_hub_2WD_basic,2WD,375,1.158301158,19.30501931,0.133333333,0,2.1625,0.014545455,0.166760563,0.123552124,7722.007722,0,1.071428571,0,0.75,0.375,0.040892595,0,0.6401,547.6253736,9.09E-05,17.35565682,20.24
10043,chassis_hub_4WD_light,4WD,700,3.723404255,53.19148936,0.535714286,0.002666667,10.6219697,0.008522727,0.132,1.595744681,1170.212766,0.311804782,0.833333333,0.028571429,0.9,0.45,0.143969968,0.067404255,0.14021,1625.634542,0.000194043,15.07022025,17.35714286
10044,chassis_hub_4WD_compact,4WD,616,2.758208955,44.7761194,2.254689755,0,0.844178794,0.027472527,0.160333333,4.975124378,3233.830846,0,1.1,0,0.777777778,0.388888889,0.604987363,0,0.08121,259.863164,0.000128146,11.24716052,14.30357143
10045,chassis_hub_16WD_advanced,16WD,2400,3.639120546,22.74450341,2.291666667,0.000909091,3.199074074,0.02972973,0.086631016,6.671721001,68.23351024,0.659380473,0.869565217,0.166666667,1,0.5,0.22602135,0.001637604,0.02073,1502.739682,0.000119048,8.42450923,10.125
10046,chassis_hub_tracked_small,2WD,700,3.75,65.47619048,0.214285714,0,1.820987654,0.005744681,0.086631016,0.642857143,535.7142857,0,1,0,0.888888889,0.444444444,0.221817083,0,0.0118,150.2739682,0.000207895,62.07938466,71.5
10047,chassis_hub_16WD_extreme,16WD,2100,3.10421286,25.8684405,3.047619048,0.01703125,61.26157407,0.036571429,0.086055777,7.568366593,66.51884701,1.572447071,0.760869565,3.633333333,1,0.5,0.056824934,0.01740133,0.26465,27053.69545,0.000123077,36.02677832,41.70833333
10048,chassis_hub_2WD_mini_robot,2WD,240,2.56,40,1.104166667,0.028301887,99.81439394,0.089473684,0.1056,2.266666667,2933.333333,0.606091527,0.857142857,0.3,0.5,0.25,0.026151067,1.43136,1.05404,85656.16189,3.99E-05,21.69457102,25.3
10049,chassis_hub_16WD_advanced,16WD,2400,3.664122137,22.90076336,2.541666667,0.00204918,7.416666667,0.032972973,0.1056,7.450381679,167.9389313,0.869565217,0.869565217,0.416666667,1,0.5,0.155708641,0.006183206,0.07832,3529.786891,0.000118519,138.8137241,166.8333333
1005,chassis_hub_8WD_heavy_duty,8WD,1350,2.414030261,27.51031637,2.905982906,0.001960784,6.898148148,0.027567568,0.09,5.612104539,123.7964237,0.810826397,0.882352941,0.222222222,1.538461538,0.769230769,0.194244512,0.000990371,0.00745,1586.22522,0.000119048,46.27124137,55.61111111
10050,chassis_hub_2WD_mini,2WD,264,1.937614679,27.52293578,0.861742424,0.005494505,10.29040541,0.076842105,0.151020408,1.339449541,4587.155963,0.319438282,0.857142857,0.045454545,0.5,0.25,0.052182174,1.339266055,0.76149,8790.657008,3.99E-05,99.86062142,113.75
10051,chassis_hub_16WD_extreme,16WD,2100,2.768622281,23.07185234,2.904761905,0.00204918,7.416216216,0.0305,0.168181818,6.433750824,659.1957811,0.783815495,0.760869565,0.416666667,1,0.5,0.134461648,0.107976269,1.6464,3529.786891,0.000118519,36.02677832,41.70833333
10052,chassis_hub_8WD_versatile,8WD,1000,2.339181287,29.23976608,4.25,0.001372549,4.967424242,0.027567568,0.132,7.953216374,428.8499025,0.933333333,0.833333333,0.175,1.2,0.6,0.275274386,0.01277193,0.06557,1586.22522,0.000119048,212.2115756,250.25
10053,chassis_hub_2WD_simple,2WD,375,1.948051948,25.97402597,0.14,0,2.917879418,0.017894737,0.150901961,0.220779221,3376.623377,0,1.071428571,0,0.525,0.2625,0.053490818,0,0.33684,946.8793406,0.000102984,85.83504186,100.1
10054,chassis_hub_12WD_mini,12WD,1750,3.106508876,29.58579882,2.571428571,0.000148148,0.338738739,0.021428571,0.154166667,6.390532544,591.7159763,0.421307489,0.875,0.02,0.96,0.48,0.710256781,0.003493491,0.0188,171.9521457,0.00011391,8.290627036,10.12
10055,chassis_hub_12WD_robust,12WD,1500,2.853745541,33.29369798,3.4375,0.000848485,3.070987654,0.0275,0.086631016,7.847800238,107.0154578,0.687386354,0.75,0.14,0.9,0.45,0.265863995,0.002397146,0.0199,1502.739682,0.000119048,10.41853905,12.15
10056,chassis_hub_2WD_basic,2WD,375,2.564102564,42.73504274,0.66,0.015151515,55.65069615,0.083157895,0.097097416,1.35042735,2820.512821,0.428571429,1.071428571,0.12,0.75,0.375,0.025145256,2.282769231,2.71798,33990.54043,3.89E-05,343.3401675,400.4
10057,chassis_hub_16WD_extreme,16WD,2100,2.763157895,23.02631579,2.142857143,0.000111111,0.352882883,0.021428571,0.168181818,4.736842105,657.8947368,0.316526517,0.760869565,0.016666667,1,0.5,0.526462263,0.00585,0.07834,171.9521457,0.00011391,144.1071133,166.8333333
10058,chassis_hub_4WD_small,4WD,540,2.685082873,38.67403315,1.131687243,0,0.303977273,0.011702128,0.1056,2.430939227,1215.469613,0,1,0,0.744444444,0.372222222,0.780197569,0,0.00321,84.97635108,0.000146998,71.52920155,83.41666667
10059,chassis_hub_16WD_advanced,16WD,2400,3.614457831,22.59036145,3.083333333,0.01472973,52.98268398,0.038947368,0.0924,8.915662651,165.6626506,1.698436955,0.869565217,3.633333333,1,0.5,0.064983825,0.070915663,0.97912,24102.38322,0.000123077,138.8137241,166.8333333
1006,chassis_hub_8WD_versatile,8WD,1000,2.321083172,29.01353965,3.333333333,0.00075,2.443181818,0.021052632,0.1056,6.189555126,425.5319149,0.663324958,0.833333333,0.075,1.2,0.6,0.333843404,0.005431335,0.0258,834.3132652,0.000111111,212.2115756,250.25
10060,chassis_hub_4WD_standard,4WD,600,3.947368421,52.63157895,0.783333333,0.223404255,802.1080247,0.009894737,0.086631016,2.473684211,592.1052632,1.610152972,1.111111111,3.5,0.8,0.4,0.021290753,3.431842105,5.19766,136791.1993,0.000206612,11.10787143,13.35
10061,chassis_hub_8WD_heavy_duty,8WD,1350,3.208409506,36.5630713,3.247863248,0.01122807,40.47727273,0.032571429,0.088,8.336380256,402.1937843,1.411764706,0.882352941,1.422222222,1.107692308,0.553846154,0.094660168,0.058968921,0.32058,13132.7088,0.000117647,7.40524762,8.9
10062,chassis_hub_16WD_advanced,16WD,2400,3.595505618,22.47191011,1.833333333,0.000113636,0.222222222,0.022564103,0.05625,5.27340824,26.21722846,0.374014142,0.869565217,0.016666667,1,0.5,0.740457169,8.09E-05,0.00056,110.0646071,0.000112045,34.70343103,41.70833333
10063,chassis_hub_2WD_basic,2WD,375,4.285714286,71.42857143,0.34,0.049019608,188.4567901,0.043157895,0.0845953,1.171428571,1285.714286,0.451753951,1.071428571,0.2,0.75,0.375,0.0224152,0.812571429,0.6106,65006.90858,6.57E-05,13.73703667,16.02
10064,chassis_hub_12WD_robust,12WD,1500,2.383316783,27.80536246,3.5625,0.00748538,26.98462838,0.032571429,0.176277916,6.79245283,1588.877855,1.13137085,0.75,1.28,0.9,0.45,0.077128767,0.949513406,9.58494,13132.7088,0.000117647,10.41853905,12.15
10065,chassis_hub_12WD_robust,12WD,1500,2.264150943,26.41509434,3.125,0.003466667,12.59943182,0.027027027,0.1056,5.660377358,207.5471698,0.845576726,0.75,0.52,1.25,0.625,0.111018679,0.012362264,0.13305,4792.666201,0.000113475,10.41853905,12.15
10066,chassis_hub_4WD_small,4WD,540,1.869230769,26.92307692,1.131687243,0,1.580743243,0.010576923,0.164079823,1.692307692,3846.153846,0,1,0,0.744444444,0.372222222,0.241394462,0,0.23395,433.3793905,0.000148875,71.52920155,83.41666667
10067,chassis_hub_8WD_versatile,8WD,1000,2.123893805,26.54867257,3.333333333,0.00075,2.442931393,0.021052632,0.160333333,5.663716814,1150.442478,0.642910051,0.833333333,0.075,1.2,0.6,0.305481487,0.046067257,0.23501,834.3132652,0.000111111,212.2115756,250.25
10068,chassis_hub_2WD_basic,2WD,375,3.658536585,60.97560976,0.66,0.015151515,55.65151515,0.071818182,0.097777778,1.926829268,2682.926829,0.494871659,1.071428571,0.12,0.75,0.375,0.035877988,0.176487805,0.14692,33990.54043,3.89E-05,20.83707809,24.3
10069,chassis_hub_2WD_mini,2WD,264,1.371428571,19.48051948,0.321969697,0.132352941,468.7782432,0.028421053,0.164079823,0.350649351,6493.506494,0.428571429,0.857142857,0.409090909,0.5,0.25,0.005094364,46.13002597,69.37918,163154.5941,0.000102459,24.24188912,27.61363636
1007,chassis_hub_12WD_mini,12WD,1750,3.41796875,32.55208333,4.228571429,0.014144144,50.86363636,0.042285714,0.1056,11.5625,286.4583333,1.772004515,0.875,3.14,0.96,0.48,0.084275898,0.07359375,0.53712,24102.38322,0.000123077,6.562047683,8.01
10070,chassis_hub_2WD_basic,2WD,375,1.694915254,28.24858757,0.506666667,0,0.912781532,0.055454545,0.16,0.689265537,4519.774011,0,1.071428571,0,0.5,0.25,0.093080068,0,0.16211,849.7635108,3.77E-05,343.3401675,400.4
10071,chassis_hub_2WD_basic,2WD,375,3.157894737,52.63157895,0.1,0,0.381818182,0.01,0.132,0.252631579,2315.789474,0,1.071428571,0,0.75,0.375,0.247746947,0,0.00504,84.97635108,0.000101378,17.35565682,20.24
10072,chassis_hub_16WD_advanced,16WD,2400,3.125,19.53125,1.666666667,0.0005,1.696452703,0.019512195,0.176277916,4.166666667,1041.666667,0.40786224,0.869565217,0.066666667,1,0.5,0.224735729,0.041625,0.60258,834.3132652,0.000111111,5.553935715,6.675
10073,chassis_hub_2WD_basic,2WD,375,2.222222222,37.03703704,0.24,0,2.052618243,0.030526316,0.18187404,0.42962963,5925.925926,0,1.071428571,0,0.525,0.2625,0.072641852,0,0.24303,1142.082159,5.99E-05,343.3401675,400.4
10074,chassis_hub_12WD_mini,12WD,1750,2.662271805,25.35496957,2.171428571,0,0.184121622,0.019487179,0.176277916,4.62474645,1622.718053,0,0.875,0,0.96,0.48,0.775779615,0,0.0654,90.99006208,0.000114943,6.562047683,8.01
10075,chassis_hub_12WD_robust,12WD,1500,2.874251497,33.53293413,2.375,0.000175439,0.405864198,0.019487179,0.086631016,5.461077844,107.7844311,0.384057287,0.75,0.02,0.9,0.45,0.591922347,0.000474251,0.00263,211.2269298,0.0001126,8.677828408,10.12
10076,chassis_hub_8WD_versatile,8WD,1000,2.321083172,29.01353965,6.166666667,0.021216216,76.29545455,0.042285714,0.088,11.45067698,425.5319149,2.362672686,0.833333333,3.925,1.2,0.6,0.083460851,0.120255319,0.60426,24102.38322,0.000123077,12.87897424,15.1875
10077,chassis_hub_2WD_mini_robot,2WD,240,1.699115044,26.54867257,0.192708333,0,3.441891892,0.015789474,0.151020408,0.265486726,4424.778761,0,0.857142857,0,0.75,0.375,0.076370372,0,0.2547,787.9625282,9.87E-05,26.04634762,30.375
10078,chassis_hub_12WD_robust,12WD,1500,2.962962963,34.56790123,2.8125,0.000148148,0.337121212,0.023076923,0.097777778,6.666666667,271.6049383,0.430116263,0.75,0.02,0.9,0.45,0.740946889,0.000177778,0.00089,171.9521457,0.00011391,171.6700837,200.2
10079,chassis_hub_2WD_basic,2WD,375,1.204819277,20.08032129,0.833333333,0.192,696.449453,0.105263158,0.170769231,0.803212851,5622.48996,0,1.071428571,1.92,0.5,0.25,0.003150731,86.27508434,216.45649,558416.0214,4.37E-05,343.3401675,400.4
1008,chassis_hub_4WD_light,4WD,700,1.74563591,24.93765586,0.492857143,0.255072464,915.1596002,0.007263158,0.176277916,0.688279302,3990.024938,0.78173596,0.833333333,2.514285714,0.67,0.335,0.005869317,81.34096758,325.06469,186947.9724,0.000206612,12.55231514,14.45714286
10080,chassis_hub_2WD_simple,2WD,375,3.488372093,46.51162791,0.626666667,0,1.066137566,0.078947368,0.086006826,1.744186047,1046.511628,0,1.071428571,0,0.75,0.375,0.250867791,0,0.00806,621.0998752,3.94E-05,85.83504186,100.1
10081,chassis_hub_2WD_mini_robot,2WD,240,2.430379747,37.97468354,0.416666667,0,15.96309771,0.033684211,0.111213873,0.810126582,1645.56962,0,0.857142857,0,0.5,0.25,0.047171228,0,0.30713,9123.776642,5.86E-05,107.2938023,125.125
10082,chassis_hub_12WD_robust,12WD,1500,2.183803458,25.47770701,2.8125,0.000148148,0.470779221,0.021428571,0.0924,4.91355778,200.1819836,0.370809924,0.75,0.02,1.25,0.625,0.546102803,0.00088444,0.0087,171.9521457,0.00011391,42.91752093,50.05
10083,chassis_hub_16WD_advanced,16WD,2400,3.511338698,21.94586686,1.583333333,0.000131579,0.422702703,0.019487179,0.151020408,4.447695684,365.7644477,0.301226227,0.869565217,0.016666667,1,0.5,0.482082575,0.002554499,0.03128,211.2269298,0.0001126,138.8137241,166.8333333
10084,chassis_hub_16WD_advanced,16WD,2400,3.38743825,21.17148906,3.083333333,0.01472973,52.98252252,0.042285714,0.168181818,8.355681016,705.716302,1.572447071,0.869565217,3.633333333,1,0.5,0.060902272,0.830769231,11.76212,24102.38322,0.000123077,138.8137241,166.8333333
10085,chassis_hub_8WD_versatile,8WD,1000,1.643835616,20.54794521,3.333333333,0.00075,2.442905405,0.019512195,0.176277916,4.383561644,2191.780822,0.565685425,0.833333333,0.075,1.2,0.6,0.236434301,0.131375342,0.86772,834.3132652,0.000111111,10.72717855,12.65
